Source Row,Legacy Post ID,Legacy Title,Legacy Slug,Legacy URL,Legacy Status,Decision,Primary Post ID,New Title,Final Slug,Final URL,HUB,Topic Cluster,Primary Keyword,Secondary Keywords,Search Intent,Target Persona,Funnel Stage,Pillar/Supporting,Target Word Count,Direct Answer Question,Product CTA,Internal Link Targets,Featured Image Brief,In-Article Image Briefs,Claim Verification,Priority,Batch,Draft Status,Editorial Notes
51,1967,Chiến lược mở rộng ra thị trường nước quốc tế,chien-luoc-mo-rong-ra-thi-truong-nuoc-ngoai-va-phuc-vu-khach-hang-quoc-te,https://gcalls.co/chien-luoc-mo-rong-ra-thi-truong-nuoc-ngoai-va-phuc-vu-khach-hang-quoc-te/,PUBLISH,REBUILD_KEEP_URL,,Chiến lược mở rộng ra thị trường nước quốc tế,chien-luoc-mo-rong-ra-thi-truong-nuoc-ngoai-va-phuc-vu-khach-hang-quoc-te,/chien-luoc-mo-rong-ra-thi-truong-nuoc-ngoai-va-phuc-vu-khach-hang-quoc-te/,HUB-09 Tổng đài quốc tế,Tổng đài quốc tế,chiến lược mở rộng ra,TO_BE_SET_AT_AUTHORING,informational-general,Sales quốc tế / Xuất khẩu,MOFU,PILLAR,2000-3000,Chiến lược mở rộng ra thị trường nước quốc tế?,Tổng đài quốc tế|/tong-dai-quoc-te/,,"CUSTOM_DIAGRAM_REQUIRED — 1600x900, new asset, brand #673ab7",1-3 new assets; see editorial-image-map.csv,No blocked claim permitted; figures require Product evidence,P0,Batch 1,DRAFT_NOT_WRITTEN,"Topic on-target; legacy root URL preserved, article written 100% new"
52,1968,Tổng đài quốc tế: Mở rộng thị trường dễ dàng với phần mềm Call Center kết nối số nước ngoài,tong-dai-quoc-te-mo-rong-thi-truong,https://gcalls.co/tong-dai-quoc-te-mo-rong-thi-truong/,PUBLISH,REBUILD_KEEP_URL,,Tổng đài quốc tế: Mở rộng thị trường dễ dàng với phần mềm Call Center kết nối số nước ngoài,tong-dai-quoc-te-mo-rong-thi-truong,/tong-dai-quoc-te-mo-rong-thi-truong/,HUB-01 Tổng đài và Call Center,Tổng đài và Call Center,tổng đài quốc tế mở,TO_BE_SET_AT_AUTHORING,informational-general,Trưởng phòng vận hành / Call Center Manager,TOFU,SUPPORTING,1200-2000,Tổng đài quốc tế: Mở rộng thị trường dễ dàng với phần mềm Call Center kết nối số nước ngoài?,Cloud Call Center|/lien-he/ ; Gcalls Plus Webphone|/gcalls-plus-webphone/,10727 | 13378 | 13409,"CUSTOM_DIAGRAM_REQUIRED — 1600x900, new asset, brand #673ab7",1-3 new assets; see editorial-image-map.csv,No blocked claim permitted; figures require Product evidence,P1,Batch 2,DRAFT_NOT_WRITTEN,"Topic on-target; legacy root URL preserved, article written 100% new"
53,2167,Mẫu bảng đánh giá nhân viên bán hàng mới nhất,mau-bang-danh-gia-nhan-vien-ban-hang-moi-nhat,https://gcalls.co/?p=2167,DRAFT,MERGE_INTO_PRIMARY,10753,,,/mau-bang-danh-gia-nhan-vien-ban-hang/,,,,,,,,,,,,,,,N/A,P3,Batch 0,N/A,Duplicate of 10753; single primary URL retained
54,2200,Lead qualification: Cách đánh giá khách hàng tiềm năng hiệu quả,,https://gcalls.co/?p=2200,DRAFT,MERGE_INTO_PRIMARY,17875,,,(primary is draft — slug TBD),,,,,,,,,,,,,,,N/A,P3,Batch 0,N/A,Duplicate of 17875; single primary URL retained
55,2244,Làm gì để mở rộng đội ngũ hỗ trợ khách hàng mà không hi sinh chất lượng dịch vụ?,lam-gi-de-mo-rong-doi-ngu-ho-tro-khach-hang-ma-khong-hi-sinh-chat-luong-dich-vu,https://gcalls.co/?p=2244,DRAFT,REBUILD_UPDATE_TOPIC,,Làm gì để mở rộng đội ngũ hỗ trợ khách hàng mà không hi sinh chất lượng dịch vụ?,lam-gi-de-mo-rong-doi-ngu-ho-tro-khach-hang-ma-khong-hi-sinh-chat-luong-dich-vu,/lam-gi-de-mo-rong-doi-ngu-ho-tro-khach-hang-ma-khong-hi-sinh-chat-luong-dich-vu/,HUB-07 QA/QC và quản trị chất lượng,QA/QC và quản trị chất lượng,làm mở rộng đội ngũ,TO_BE_SET_AT_AUTHORING,informational-general,QA Lead / Trưởng nhóm chất lượng,MOFU,PILLAR,2000-3000,Làm gì để mở rộng đội ngũ hỗ trợ khách hàng mà không hi sinh chất lượng dịch vụ?,QA/QC Center|/qc-bot-ai/,1828 | 16324,"PRODUCT_SCREENSHOT_REQUIRED — 1600x900, new asset, brand #673ab7",1-3 new assets; see editorial-image-map.csv,No blocked claim permitted; figures require Product evidence,P0,Batch 1,DRAFT_NOT_WRITTEN,Topic re-scoped to Gcalls ICP; article written 100% new
56,2261,Cách tính giá trị vòng đời khách hàng CLV của doanh nghiệp,cach-tinh-gia-tri-vong-doi-khach-hang-clv-cua-doanh-nghiep,https://gcalls.co/?p=2261,DRAFT,REBUILD_UPDATE_TOPIC,,Cách tính giá trị vòng đời khách hàng CLV của doanh nghiệp,cach-tinh-gia-tri-vong-doi-khach-hang-clv-cua-doanh-nghiep,/cach-tinh-gia-tri-vong-doi-khach-hang-clv-cua-doanh-nghiep/,HUB-11 Vận hành doanh nghiệp,Vận hành doanh nghiệp,tính giá trị vòng đời,TO_BE_SET_AT_AUTHORING,informational-howto,Chủ doanh nghiệp / Quản lý,TOFU,PILLAR,2000-3000,Cách tính giá trị vòng đời khách hàng CLV của doanh nghiệp?,Gcalls Plus Webphone|/gcalls-plus-webphone/,2665 | 2738 | 10728,"EDITORIAL_ILLUSTRATION_REQUIRED — 1600x900, new asset, brand #673ab7",1-3 new assets; see editorial-image-map.csv,No blocked claim permitted; figures require Product evidence,P2,Batch 10,DRAFT_NOT_WRITTEN,Topic re-scoped to Gcalls ICP; article written 100% new
57,2400,Hướng dẫn đo lường kết quả khảo sát sự hài lòng của khách hàng,huong-dan-do-luong-ket-qua-khao-sat-su-hai-long-cua-khach-hang,https://gcalls.co/?p=2400,DRAFT,REBUILD_UPDATE_TOPIC,,Hướng dẫn đo lường kết quả khảo sát sự hài lòng của khách hàng,huong-dan-do-luong-ket-qua-khao-sat-su-hai-long-cua-khach-hang,/huong-dan-do-luong-ket-qua-khao-sat-su-hai-long-cua-khach-hang/,HUB-05 Customer Service và Customer Experience,Customer Service và Customer Experience,hướng dẫn đo lường kết,TO_BE_SET_AT_AUTHORING,informational-howto,Quản lý CSKH,TOFU,PILLAR,2000-3000,Hướng dẫn đo lường kết quả khảo sát sự hài lòng của khách hàng?,Gcalls CX|/gcalls-cx/ ; Tổng đài tích hợp Helpdesk|/tong-dai-tich-hop-helpdesk/,2695 | 2752 | 10731,"EDITORIAL_ILLUSTRATION_REQUIRED — 1600x900, new asset, brand #673ab7",1-3 new assets; see editorial-image-map.csv,No blocked claim permitted; figures require Product evidence,P1,Batch 7,DRAFT_NOT_WRITTEN,Topic re-scoped to Gcalls ICP; article written 100% new
58,2425,Hướng dẫn tuyển dụng nhân sự cho bộ phận Hỗ trợ khách hàng,huong-dan-tuyen-dung-nhan-su-cho-bo-phan-ho-tro-khach-hang-cua-doanh-nghiep,https://gcalls.co/?p=2425,DRAFT,RETIRE_410,,,,410,,,,,,,,,,,,,,,N/A,P3,Batch 0,N/A,Non-editorial or off-ICP; no replacement article
59,2437,16 công cụ tạo phiếu yêu cầu hỗ trợ ticket cho bộ phận Dịch vụ khách hàng,cong-cu-tao-phieu-yeu-cau-ho-tro-ticket-cho-bo-phan-dich-vu-khach-hang,https://gcalls.co/cong-cu-tao-phieu-yeu-cau-ho-tro-ticket-cho-bo-phan-dich-vu-khach-hang/,PRIVATE,REBUILD_UPDATE_TOPIC,,16 công cụ tạo phiếu yêu cầu hỗ trợ ticket cho bộ phận Dịch vụ khách hàng,cong-cu-tao-phieu-yeu-cau-ho-tro-ticket-cho-bo-phan-dich-vu-khach-hang,/cong-cu-tao-phieu-yeu-cau-ho-tro-ticket-cho-bo-phan-dich-vu-khach-hang/,"HUB-03 CRM, Helpdesk và tích hợp","CRM, Helpdesk và tích hợp",công cụ tạo phiếu yêu,TO_BE_SET_AT_AUTHORING,informational-general,IT / Trưởng dự án tích hợp,MOFU,PILLAR,2000-3000,16 công cụ tạo phiếu yêu cầu hỗ trợ ticket cho bộ phận Dịch vụ khách hàng?,Tổng đài tích hợp CRM|/tong-dai-tich-hop-crm/ ; Tổng đài tích hợp Helpdesk|/tong-dai-tich-hop-helpdesk/,2864 | 2584 | 2621,"CUSTOM_DIAGRAM_REQUIRED — 1600x900, new asset, brand #673ab7",1-3 new assets; see editorial-image-map.csv,No blocked claim permitted; figures require Product evidence,P0,Batch 1,DRAFT_NOT_WRITTEN,Topic re-scoped to Gcalls ICP; article written 100% new
60,2449,Hướng dẫn tính toán và cải thiện chỉ số CAC cho doanh nghiệp năm 2022,,https://gcalls.co/?p=2449,DRAFT,REBUILD_UPDATE_TOPIC,,Hướng dẫn tính toán và cải thiện chỉ số CAC cho doanh nghiệp năm 2022,huong-dan-tinh-toan-va-cai-thien-chi-so-cac-cho-doanh-nghiep-nam-2022,/huong-dan-tinh-toan-va-cai-thien-chi-so-cac-cho-doanh-nghiep-nam-2022/,HUB-04 Telesales và Sales Operations,Telesales và Sales Operations,hướng dẫn tính toán cải,TO_BE_SET_AT_AUTHORING,informational-howto,Telesales Leader / Sales Manager,TOFU,PILLAR,2000-3000,Hướng dẫn tính toán và cải thiện chỉ số CAC cho doanh nghiệp năm 2022?,Gcalls Plus Webphone|/gcalls-plus-webphone/ ; Tổng đài tích hợp CRM|/tong-dai-tich-hop-crm/,1617 | 2684 | 2761,"EDITORIAL_ILLUSTRATION_REQUIRED — 1600x900, new asset, brand #673ab7",1-3 new assets; see editorial-image-map.csv,No blocked claim permitted; figures require Product evidence,P1,Batch 8,DRAFT_NOT_WRITTEN,Topic re-scoped to Gcalls ICP; article written 100% new
61,2462,Tại sao tỷ lệ giữ chân khách hàng lại quan trọng đối với doanh nghiệp?,tai-sao-ty-le-giu-chan-khach-hang-lai-quan-trong-doi-voi-doanh-nghiep,https://gcalls.co/?p=2462,DRAFT,MERGE_INTO_PRIMARY,17884,,,(primary is draft — slug TBD),,,,,,,,,,,,,,,N/A,P3,Batch 0,N/A,Duplicate of 17884; single primary URL retained
62,2472,Chỉ số CES là gì và khi nào nên sử dụng khảo sát CES?,,https://gcalls.co/?p=2472,DRAFT,REBUILD_UPDATE_TOPIC,,Chỉ số CES là gì và khi nào nên sử dụng khảo sát CES?,chi-so-ces-la-gi-va-khi-nao-nen-su-dung-khao-sat-ces,/chi-so-ces-la-gi-va-khi-nao-nen-su-dung-khao-sat-ces/,HUB-05 Customer Service và Customer Experience,Customer Service và Customer Experience,chỉ số ces sử dụng,TO_BE_SET_AT_AUTHORING,informational-definition,Quản lý CSKH,TOFU,PILLAR,2000-3000,Chỉ số CES là gì và khi nào nên sử dụng khảo sát CES?,Gcalls CX|/gcalls-cx/ ; Tổng đài tích hợp Helpdesk|/tong-dai-tich-hop-helpdesk/,2400 | 2695 | 2752,"EDITORIAL_ILLUSTRATION_REQUIRED — 1600x900, new asset, brand #673ab7",1-3 new assets; see editorial-image-map.csv,No blocked claim permitted; figures require Product evidence,P1,Batch 7,DRAFT_NOT_WRITTEN,Topic re-scoped to Gcalls ICP; article written 100% new
63,2486,Chỉ số NPS là gì và tại sao nó lại quan trọng đối với doanh nghiệp?,,https://gcalls.co/?p=2486,DRAFT,REBUILD_UPDATE_TOPIC,,Chỉ số NPS là gì và tại sao nó lại quan trọng đối với doanh nghiệp?,chi-so-nps-la-gi-va-tai-sao-no-lai-quan-trong-doi-voi-doanh-nghiep,/chi-so-nps-la-gi-va-tai-sao-no-lai-quan-trong-doi-voi-doanh-nghiep/,HUB-05 Customer Service và Customer Experience,Customer Service và Customer Experience,chỉ số nps nó lại,TO_BE_SET_AT_AUTHORING,informational-definition,Quản lý CSKH,TOFU,PILLAR,2000-3000,Chỉ số NPS là gì và tại sao nó lại quan trọng đối với doanh nghiệp?,Gcalls CX|/gcalls-cx/ ; Tổng đài tích hợp Helpdesk|/tong-dai-tich-hop-helpdesk/,2400 | 2695 | 2752,"EDITORIAL_ILLUSTRATION_REQUIRED — 1600x900, new asset, brand #673ab7",1-3 new assets; see editorial-image-map.csv,No blocked claim permitted; figures require Product evidence,P1,Batch 7,DRAFT_NOT_WRITTEN,Topic re-scoped to Gcalls ICP; article written 100% new
64,2495,19 ví dụ về khảo sát sự hài lòng của khách hàng và các khảo sát mẫu,19-vi-du-ve-khao-sat-su-hai-long-cua-khach-hang-va-cac-khao-sat-mau,https://gcalls.co/?p=2495,DRAFT,REBUILD_UPDATE_TOPIC,,19 ví dụ về khảo sát sự hài lòng của khách hàng và các khảo sát mẫu,19-vi-du-ve-khao-sat-su-hai-long-cua-khach-hang-va-cac-khao-sat-mau,/19-vi-du-ve-khao-sat-su-hai-long-cua-khach-hang-va-cac-khao-sat-mau/,HUB-04 Telesales và Sales Operations,Telesales và Sales Operations,ví dụ khảo sát sự,TO_BE_SET_AT_AUTHORING,informational-general,Telesales Leader / Sales Manager,TOFU,PILLAR,2000-3000,19 ví dụ về khảo sát sự hài lòng của khách hàng và các khảo sát mẫu?,Gcalls Plus Webphone|/gcalls-plus-webphone/ ; Tổng đài tích hợp CRM|/tong-dai-tich-hop-crm/,1617 | 2684 | 2761,"EDITORIAL_ILLUSTRATION_REQUIRED — 1600x900, new asset, brand #673ab7",1-3 new assets; see editorial-image-map.csv,No blocked claim permitted; figures require Product evidence,P1,Batch 8,DRAFT_NOT_WRITTEN,Topic re-scoped to Gcalls ICP; article written 100% new
65,2539,Chỉ số CSAT là gì và cách đo lường chỉ số này trong dịch vụ khách hàng?,chi-so-csat-la-gi-va-cach-do-luong-chi-so-nay-trong-dich-vu-khach-hang,https://gcalls.co/?p=2539,DRAFT,REBUILD_UPDATE_TOPIC,,Chỉ số CSAT là gì và cách đo lường chỉ số này trong dịch vụ khách hàng?,chi-so-csat-la-gi-va-cach-do-luong-chi-so-nay-trong-dich-vu-khach-hang,/chi-so-csat-la-gi-va-cach-do-luong-chi-so-nay-trong-dich-vu-khach-hang/,HUB-05 Customer Service và Customer Experience,Customer Service và Customer Experience,chỉ số csat đo lường,TO_BE_SET_AT_AUTHORING,informational-definition,Quản lý CSKH,TOFU,PILLAR,2000-3000,Chỉ số CSAT là gì và cách đo lường chỉ số này trong dịch vụ khách hàng?,Gcalls CX|/gcalls-cx/ ; Tổng đài tích hợp Helpdesk|/tong-dai-tich-hop-helpdesk/,2400 | 2695 | 2752,"EDITORIAL_ILLUSTRATION_REQUIRED — 1600x900, new asset, brand #673ab7",1-3 new assets; see editorial-image-map.csv,No blocked claim permitted; figures require Product evidence,P1,Batch 7,DRAFT_NOT_WRITTEN,Topic re-scoped to Gcalls ICP; article written 100% new
66,2584,Phần mềm Getfly: Tính năng và ứng dụng của phần mềm CRM “gốc Việt”,phan-mem-getfly-tinh-nang-ung-dung-va-uu-nhuoc-diem-cua-phan-mem-crm-goc-viet,https://gcalls.co/?p=2584,DRAFT,REBUILD_UPDATE_TOPIC,,Phần mềm Getfly: Tính năng và ứng dụng của phần mềm CRM “gốc Việt”,phan-mem-getfly-tinh-nang-ung-dung-va-uu-nhuoc-diem-cua-phan-mem-crm-goc-viet,/phan-mem-getfly-tinh-nang-ung-dung-va-uu-nhuoc-diem-cua-phan-mem-crm-goc-viet/,"HUB-03 CRM, Helpdesk và tích hợp","CRM, Helpdesk và tích hợp",mềm getfly tính năng ứng,TO_BE_SET_AT_AUTHORING,informational-general,IT / Trưởng dự án tích hợp,MOFU,PILLAR,2000-3000,Phần mềm Getfly: Tính năng và ứng dụng của phần mềm CRM “gốc Việt”?,Tổng đài tích hợp CRM|/tong-dai-tich-hop-crm/ ; Tổng đài tích hợp Helpdesk|/tong-dai-tich-hop-helpdesk/,2864 | 2621 | 2819,"CUSTOM_DIAGRAM_REQUIRED — 1600x900, new asset, brand #673ab7",1-3 new assets; see editorial-image-map.csv,No blocked claim permitted; figures require Product evidence,P0,Batch 1,DRAFT_NOT_WRITTEN,Topic re-scoped to Gcalls ICP; article written 100% new
67,2621,Ưu và nhược điểm của các giải pháp trong  phần mềm CRM HubSpot,uu-va-nhuoc-diem-cua-cac-giai-phap-trong-phan-mem-crm-hubspot,https://gcalls.co/?p=2621,DRAFT,REBUILD_UPDATE_TOPIC,,Ưu và nhược điểm của các giải pháp trong  phần mềm CRM HubSpot,uu-va-nhuoc-diem-cua-cac-giai-phap-trong-phan-mem-crm-hubspot,/uu-va-nhuoc-diem-cua-cac-giai-phap-trong-phan-mem-crm-hubspot/,"HUB-03 CRM, Helpdesk và tích hợp","CRM, Helpdesk và tích hợp",ưu nhược điểm giải pháp,TO_BE_SET_AT_AUTHORING,commercial-investigation,IT / Trưởng dự án tích hợp,MOFU,PILLAR,2000-3000,Ưu và nhược điểm của các giải pháp trong  phần mềm CRM HubSpot?,Tổng đài tích hợp CRM|/tong-dai-tich-hop-crm/ ; Tổng đài tích hợp Helpdesk|/tong-dai-tich-hop-helpdesk/,2864 | 2584 | 2819,"CUSTOM_DIAGRAM_REQUIRED — 1600x900, new asset, brand #673ab7",1-3 new assets; see editorial-image-map.csv,No blocked claim permitted; figures require Product evidence,P0,Batch 1,DRAFT_NOT_WRITTEN,Topic re-scoped to Gcalls ICP; article written 100% new
68,2641,Phần mềm Bitrix24 - Các tính năng nổi bật và lý do nên lựa chọn Bitrix24,phan-mem-bitrix24-cac-tinh-nang-noi-bat-va-ly-do-nen-lua-chon-bitrix24,https://gcalls.co/?p=2641,DRAFT,REBUILD_UPDATE_TOPIC,,Phần mềm Bitrix24 - Các tính năng nổi bật và lý do nên lựa chọn Bitrix24,phan-mem-bitrix24-cac-tinh-nang-noi-bat-va-ly-do-nen-lua-chon-bitrix24,/phan-mem-bitrix24-cac-tinh-nang-noi-bat-va-ly-do-nen-lua-chon-bitrix24/,HUB-04 Telesales và Sales Operations,Telesales và Sales Operations,mềm bitrix24 tính năng nổi,TO_BE_SET_AT_AUTHORING,informational-general,Telesales Leader / Sales Manager,TOFU,PILLAR,2000-3000,Phần mềm Bitrix24 - Các tính năng nổi bật và lý do nên lựa chọn Bitrix24?,Gcalls Plus Webphone|/gcalls-plus-webphone/ ; Tổng đài tích hợp CRM|/tong-dai-tich-hop-crm/,1617 | 2684 | 2761,"EDITORIAL_ILLUSTRATION_REQUIRED — 1600x900, new asset, brand #673ab7",1-3 new assets; see editorial-image-map.csv,No blocked claim permitted; figures require Product evidence,P1,Batch 8,DRAFT_NOT_WRITTEN,Topic re-scoped to Gcalls ICP; article written 100% new
69,2665,Chiến lược khách hàng trung tâm (Customer-Centric) cho doanh nghiệp,chien-luoc-khach-hang-trung-tam-customer-centric-cho-doanh-nghiep,https://gcalls.co/?p=2665,DRAFT,REBUILD_UPDATE_TOPIC,,Chiến lược khách hàng trung tâm (Customer-Centric) cho doanh nghiệp,chien-luoc-khach-hang-trung-tam-customer-centric-cho-doanh-nghiep,/chien-luoc-khach-hang-trung-tam-customer-centric-cho-doanh-nghiep/,HUB-11 Vận hành doanh nghiệp,Vận hành doanh nghiệp,chiến lược khách hàng trung,TO_BE_SET_AT_AUTHORING,informational-general,Chủ doanh nghiệp / Quản lý,TOFU,PILLAR,2000-3000,Chiến lược khách hàng trung tâm (Customer-Centric) cho doanh nghiệp?,Gcalls Plus Webphone|/gcalls-plus-webphone/,2261 | 2738 | 10728,"EDITORIAL_ILLUSTRATION_REQUIRED — 1600x900, new asset, brand #673ab7",1-3 new assets; see editorial-image-map.csv,No blocked claim permitted; figures require Product evidence,P2,Batch 10,DRAFT_NOT_WRITTEN,Topic re-scoped to Gcalls ICP; article written 100% new
70,2684,Đội ngũ bán hàng nên quay lại văn phòng hay làm việc từ xa sau đại dịch?,doi-ngu-ban-hang-nen-quay-lai-van-phong-hay-lam-viec-tu-xa-sau-dai-dich,https://gcalls.co/?p=2684,DRAFT,REBUILD_UPDATE_TOPIC,,Đội ngũ bán hàng nên quay lại văn phòng hay làm việc từ xa sau đại dịch?,doi-ngu-ban-hang-nen-quay-lai-van-phong-hay-lam-viec-tu-xa-sau-dai-dich,/doi-ngu-ban-hang-nen-quay-lai-van-phong-hay-lam-viec-tu-xa-sau-dai-dich/,HUB-04 Telesales và Sales Operations,Telesales và Sales Operations,đội ngũ bán hàng quay,TO_BE_SET_AT_AUTHORING,informational-general,Telesales Leader / Sales Manager,TOFU,SUPPORTING,1200-2000,Đội ngũ bán hàng nên quay lại văn phòng hay làm việc từ xa sau đại dịch?,Gcalls Plus Webphone|/gcalls-plus-webphone/ ; Tổng đài tích hợp CRM|/tong-dai-tich-hop-crm/,1617 | 2761 | 2920,"EDITORIAL_ILLUSTRATION_REQUIRED — 1600x900, new asset, brand #673ab7",1-3 new assets; see editorial-image-map.csv,No blocked claim permitted; figures require Product evidence,P1,Batch 8,DRAFT_NOT_WRITTEN,Topic re-scoped to Gcalls ICP; article written 100% new
71,2695,10 điều không nên nói trong một cuộc gọi chăm sóc khách hàng,10-dieu-khong-nen-noi-trong-mot-cuoc-goi-cham-soc-khach-hang,https://gcalls.co/?p=2695,DRAFT,REBUILD_UPDATE_TOPIC,,10 điều không nên nói trong một cuộc gọi chăm sóc khách hàng,10-dieu-khong-nen-noi-trong-mot-cuoc-goi-cham-soc-khach-hang,/10-dieu-khong-nen-noi-trong-mot-cuoc-goi-cham-soc-khach-hang/,HUB-05 Customer Service và Customer Experience,Customer Service và Customer Experience,điều nói cuộc gọi chăm,TO_BE_SET_AT_AUTHORING,informational-general,Quản lý CSKH,TOFU,SUPPORTING,1200-2000,10 điều không nên nói trong một cuộc gọi chăm sóc khách hàng?,Gcalls CX|/gcalls-cx/ ; Tổng đài tích hợp Helpdesk|/tong-dai-tich-hop-helpdesk/,2400 | 2752 | 10731,"EDITORIAL_ILLUSTRATION_REQUIRED — 1600x900, new asset, brand #673ab7",1-3 new assets; see editorial-image-map.csv,No blocked claim permitted; figures require Product evidence,P1,Batch 7,DRAFT_NOT_WRITTEN,Topic re-scoped to Gcalls ICP; article written 100% new
72,2704,Hướng dẫn tạo biểu mẫu chấm điểm đánh giá cuộc gọi tại Call Center,cai-thien-trai-nghiem-khach-hang-voi-bieu-mau-cham-diem-danh-gia-cuoc-goi,https://gcalls.co/?p=2704,DRAFT,MERGE_INTO_PRIMARY,1828,,,/cai-thien-trai-nghiem-khach-hang-bang-bieu-mau-cham-diem-danh-gia-cuoc-goi/,,,,,,,,,,,,,,,N/A,P3,Batch 0,N/A,Duplicate of 1828; single primary URL retained
73,2715,Hướng dẫn tuyển dụng nhân viên hỗ trợ cho bộ phận dịch vụ khách hàng,huong-dan-tuyen-dung-nhan-vien-ho-tro-cho-bo-phan-dich-vu-khach-hang,https://gcalls.co/?p=2715,DRAFT,RETIRE_410,,,,410,,,,,,,,,,,,,,,N/A,P3,Batch 0,N/A,Non-editorial or off-ICP; no replacement article
74,2738,Tại sao phàn nàn của khách hàng lại có ích cho doanh nghiệp của bạn?,tai-sao-phan-nan-cua-khach-hang-lai-co-ich-cho-doanh-nghiep-cua-ban,https://gcalls.co/?p=2738,DRAFT,REBUILD_UPDATE_TOPIC,,Tại sao phàn nàn của khách hàng lại có ích cho doanh nghiệp của bạn?,tai-sao-phan-nan-cua-khach-hang-lai-co-ich-cho-doanh-nghiep-cua-ban,/tai-sao-phan-nan-cua-khach-hang-lai-co-ich-cho-doanh-nghiep-cua-ban/,HUB-11 Vận hành doanh nghiệp,Vận hành doanh nghiệp,phàn nàn khách hàng lại,TO_BE_SET_AT_AUTHORING,informational-general,Chủ doanh nghiệp / Quản lý,TOFU,PILLAR,2000-3000,Tại sao phàn nàn của khách hàng lại có ích cho doanh nghiệp của bạn?,Gcalls Plus Webphone|/gcalls-plus-webphone/,2261 | 2665 | 10728,"EDITORIAL_ILLUSTRATION_REQUIRED — 1600x900, new asset, brand #673ab7",1-3 new assets; see editorial-image-map.csv,No blocked claim permitted; figures require Product evidence,P2,Batch 10,DRAFT_NOT_WRITTEN,Topic re-scoped to Gcalls ICP; article written 100% new
75,2752,Khách hàng tự phục vụ và ví dụ về các cổng thông tin tự phục vụ tốt nhất,khach-hang-tu-phuc-vu-va-vi-du-ve-cac-cong-thong-tin-tu-phuc-vu-tot-nhat,https://gcalls.co/?p=2752,DRAFT,REBUILD_UPDATE_TOPIC,,Khách hàng tự phục vụ và ví dụ về các cổng thông tin tự phục vụ tốt nhất,khach-hang-tu-phuc-vu-va-vi-du-ve-cac-cong-thong-tin-tu-phuc-vu-tot-nhat,/khach-hang-tu-phuc-vu-va-vi-du-ve-cac-cong-thong-tin-tu-phuc-vu-tot-nhat/,HUB-05 Customer Service và Customer Experience,Customer Service và Customer Experience,khách hàng tự phục vụ,TO_BE_SET_AT_AUTHORING,commercial-investigation,Quản lý CSKH,TOFU,PILLAR,2000-3000,Khách hàng tự phục vụ và ví dụ về các cổng thông tin tự phục vụ tốt nhất?,Gcalls CX|/gcalls-cx/ ; Tổng đài tích hợp Helpdesk|/tong-dai-tich-hop-helpdesk/,2400 | 2695 | 10731,"EDITORIAL_ILLUSTRATION_REQUIRED — 1600x900, new asset, brand #673ab7",1-3 new assets; see editorial-image-map.csv,No blocked claim permitted; figures require Product evidence,P1,Batch 7,DRAFT_NOT_WRITTEN,Topic re-scoped to Gcalls ICP; article written 100% new
76,2761,Làm thế nào để kết nối 2 bộ phận bán hàng và dịch vụ khách hàng?,lam-the-nao-de-ket-noi-2-bo-phan-ban-hang-va-dich-vu-khach-hang,https://gcalls.co/?p=2761,DRAFT,REBUILD_UPDATE_TOPIC,,Làm thế nào để kết nối 2 bộ phận bán hàng và dịch vụ khách hàng?,lam-the-nao-de-ket-noi-2-bo-phan-ban-hang-va-dich-vu-khach-hang,/lam-the-nao-de-ket-noi-2-bo-phan-ban-hang-va-dich-vu-khach-hang/,HUB-04 Telesales và Sales Operations,Telesales và Sales Operations,làm kết nối bộ phận,TO_BE_SET_AT_AUTHORING,informational-general,Telesales Leader / Sales Manager,TOFU,PILLAR,2000-3000,Làm thế nào để kết nối 2 bộ phận bán hàng và dịch vụ khách hàng?,Gcalls Plus Webphone|/gcalls-plus-webphone/ ; Tổng đài tích hợp CRM|/tong-dai-tich-hop-crm/,1617 | 2684 | 2920,"EDITORIAL_ILLUSTRATION_REQUIRED — 1600x900, new asset, brand #673ab7",1-3 new assets; see editorial-image-map.csv,No blocked claim permitted; figures require Product evidence,P1,Batch 8,DRAFT_NOT_WRITTEN,Topic re-scoped to Gcalls ICP; article written 100% new
77,2768,Call Center: Điểm khác biệt giữa On-Premises và Cloud Call Center (Phần 1),call-center-diem-khac-biet-giua-on-premises-va-cloud-call-center-phan-1,https://gcalls.co/call-center-diem-khac-biet-giua-on-premises-va-cloud-call-center-phan-1/,PUBLISH,REBUILD_KEEP_URL,,Call Center: Điểm khác biệt giữa On-Premises và Cloud Call Center (Phần 1),call-center-diem-khac-biet-giua-on-premises-va-cloud-call-center-phan-1,/call-center-diem-khac-biet-giua-on-premises-va-cloud-call-center-phan-1/,HUB-01 Tổng đài và Call Center,Tổng đài và Call Center,call center điểm khác biệt,TO_BE_SET_AT_AUTHORING,informational-general,Trưởng phòng vận hành / Call Center Manager,TOFU,PILLAR,2000-3000,Call Center: Điểm khác biệt giữa On-Premises và Cloud Call Center (Phần 1)?,Cloud Call Center|/lien-he/ ; Gcalls Plus Webphone|/gcalls-plus-webphone/,10727 | 13378 | 13409,"CUSTOM_DIAGRAM_REQUIRED — 1600x900, new asset, brand #673ab7",1-3 new assets; see editorial-image-map.csv,No blocked claim permitted; figures require Product evidence,P1,Batch 2,DRAFT_NOT_WRITTEN,"Topic on-target; legacy root URL preserved, article written 100% new"
