Legacy Post ID,New Title,HUB,Primary Keyword,Search Intent,Funnel Stage,Pillar/Supporting,Unique?,Priority
15561,Trải Nghiệm Khách Hàng Xuất Sắc Là Gì? Cách Nâng Cấp,HUB-05,trải nghiệm khách hàng xuất,informational-definition,TOFU,SUPPORTING,YES,P1
15589,Câu Hỏi Chăm Sóc Khách Hàng Cũ & Kịch Bản CSKH Hiệu Quả,HUB-05,câu hỏi chăm sóc khách,informational-general,TOFU,SUPPORTING,YES,P1
15604,Giải Pháp Chăm Sóc Khách Hàng Nào Tối Ưu Nhất?,HUB-05,giải pháp chăm sóc khách,informational-general,TOFU,SUPPORTING,YES,P1
15646,Top 5 Lợi Ích Của Phần Mềm Auto Answer,HUB-04,lợi ích mềm auto answer,commercial-investigation,TOFU,SUPPORTING,YES,P1
15660,Chiến Lược Giữ Chân Khách Hàng Hiệu Quả Nhất,HUB-05,chiến lược giữ chân khách,informational-general,TOFU,SUPPORTING,YES,P1
15681,Tin Nhắn Chăm Sóc Khách Hàng Cũ Giúp Gia Tăng Hiệu Quả,HUB-05,tin nhắn chăm sóc khách,informational-general,TOFU,SUPPORTING,COLLISION,P1
15687,Quản Lý Thông Tin Khách Hàng Hiệu Quả Qua Hệ Thống Nào?,HUB-11,quản lý thông tin khách,informational-general,TOFU,SUPPORTING,YES,P2
15713,Quản Lý Cuộc Gọi Khách Hàng Có Thật Sự Dễ Dàng?,HUB-11,quản lý cuộc gọi khách,informational-general,TOFU,SUPPORTING,YES,P2
15724,Bí Quyết Chăm Sóc Khách Hàng Tuyệt Đỉnh Nhất,HUB-05,bí quyết chăm sóc khách,informational-general,TOFU,SUPPORTING,YES,P1
15738,"Tại Sao Dịch Vụ Tổng Đài Ảo Dành Cho Startup ""Bùng Nổ"" 2023?",HUB-01,dịch vụ tổng đài ảo,informational-general,TOFU,SUPPORTING,COLLISION,P1
15743,Đồng Bộ Hóa Dữ Liệu Là Gì? Tại Sao Nên Đồng Bộ Dữ Liệu?,HUB-03,đồng bộ hóa dữ liệu,informational-definition,MOFU,PILLAR,YES,P0
15765,Phần Mềm Auto Call Và Những Lợi Ích Cho Doanh Nghiệp,HUB-11,mềm auto call lợi ích,informational-general,TOFU,SUPPORTING,YES,P2
15775,5 Lợi Ích Của Dịch Vụ Hỗ Trợ Trực Tuyến,HUB-11,lợi ích dịch vụ hỗ,informational-general,TOFU,SUPPORTING,YES,P2
15794,Hệ Thống Quản Lý Khách Hàng Và Phần Mềm Trên Điện Thoại,HUB-11,hệ thống quản lý khách,informational-general,TOFU,SUPPORTING,COLLISION,P2
15806,Giải Pháp Tổng Đài Ảo Cho Doanh Nghiệp Vừa Và Nhỏ,HUB-01,giải pháp tổng đài ảo,informational-general,TOFU,SUPPORTING,COLLISION,P1
15830,Mô Hình Trải Nghiệm Khách Hàng Là Gì?,HUB-05,mô hình trải nghiệm khách,informational-definition,TOFU,SUPPORTING,YES,P1
15847,Lưu Trữ Thông Tin Khách Hàng Với Top 3 Phần Mềm Tốt Nhất,HUB-11,lưu trữ thông tin khách,commercial-investigation,TOFU,SUPPORTING,YES,P2
15859,Tổng Đài IP Và Những Điều Cần Biết Trước Khi Lắp Đặt,HUB-01,tổng đài ip điều cần,informational-general,TOFU,SUPPORTING,YES,P1
15870,Nhân Viên Hỗ Trợ Khách Hàng - Chìa Khóa Thành Công Của Doanh Nghiệp,HUB-11,nhân viên hỗ trợ khách,informational-general,TOFU,SUPPORTING,YES,P2
15884,Dịch Vụ Tổng Đài Đám Mây Cho Start-Up,HUB-01,dịch vụ tổng đài đám,informational-general,TOFU,SUPPORTING,YES,P1
15904,8 Bước Bán Hàng Cơ Bản Và Hiệu Quả Cho Nhân Viên Sales,HUB-04,bước bán hàng cơ bản,informational-howto,TOFU,SUPPORTING,YES,P1
15916,Cách Gọi Sale Hiệu Quả Có Thể Bạn Không Biết,HUB-04,gọi sale hiệu quả thể,informational-howto,TOFU,SUPPORTING,YES,P1
15926,Cách Telesale Cho Người Mới Bắt Đầu,HUB-04,telesale người bắt đầu,informational-howto,TOFU,SUPPORTING,YES,P1
15943,Chương Trình Chăm Sóc Khách Hàng Tối Ưu Nhất,HUB-05,chương trình chăm sóc khách,informational-general,TOFU,SUPPORTING,YES,P1
15982,Quản Lý Quan Hệ Khách Hàng Trong Doanh Nghiệp,HUB-11,quản lý quan hệ khách,informational-general,TOFU,SUPPORTING,YES,P2
15993,Phương Pháp Quản Lý Telesale Hiệu Quả,HUB-04,phương pháp quản lý telesale,informational-general,TOFU,SUPPORTING,YES,P1
16005,Hệ Thống Chăm Sóc Khách Hàng: Lợi Ích Và 6 Tính Năng,HUB-05,hệ thống chăm sóc khách,informational-general,TOFU,SUPPORTING,YES,P1
16018,Đăng Ký Tổng Đài Ảo: Giải Pháp Chăm Sóc Khách Hàng Hiệu Quả,HUB-01,đăng ký tổng đài ảo,informational-general,TOFU,SUPPORTING,YES,P1
16022,Cách Gọi Telesale Hiệu Quả Mà Bạn Chưa Biết,HUB-04,gọi telesale hiệu quả mà,informational-howto,TOFU,SUPPORTING,YES,P1
16035,8 Cách Nâng Cao Trải Nghiệm Dịch Vụ Khách Hàng,HUB-05,nâng cao trải nghiệm dịch,informational-howto,TOFU,SUPPORTING,YES,P1
16095,"Hệ Thống Quản Lý Khách Hàng Trong Nhà Hàng, Khách Sạn",HUB-11,hệ thống quản lý khách,informational-general,TOFU,SUPPORTING,COLLISION,P2
16109,Chú Ý Khi Xây Dựng Sơ Đồ Quy Trình Chăm Sóc Khách Hàng,HUB-05,chú ý xây dựng sơ,informational-howto,TOFU,SUPPORTING,YES,P1
16131,Phần Mềm Quản Lý Khách Hàng Miễn Phí Cho Doanh Nghiệp,HUB-11,mềm quản lý khách hàng,informational-general,TOFU,SUPPORTING,YES,P2
16145,Phương Pháp Chăm Sóc Khách Hàng Hiệu Quả Nhất Hiện Nay,HUB-05,phương pháp chăm sóc khách,informational-general,TOFU,SUPPORTING,YES,P1
16176,Nâng Cao Chất Lượng Nguồn Nhân Lực Trong Doanh Nghiệp,HUB-11,nâng cao chất lượng nguồn,informational-general,TOFU,SUPPORTING,YES,P2
16180,Xây Dựng Chiến Lược Marketing Hiệu Quả Như Thế Nào?,HUB-11,xây dựng chiến lược marketing,informational-general,TOFU,SUPPORTING,YES,P2
16201,9 Ý Tưởng Khởi Nghiệp Tuyệt Vời Cho Bạn,HUB-11,ý tưởng khởi tuyệt vời,informational-general,TOFU,SUPPORTING,YES,P2
16202,8 Phương Pháp Tiếp Cận Khách Hàng Hiệu Quả,HUB-11,phương pháp tiếp cận khách,informational-general,TOFU,SUPPORTING,YES,P2
16240,Xác Định Khách Hàng Mục Tiêu: Vai Trò & Cách Xác Định,HUB-11,xác định khách hàng mục,informational-howto,TOFU,SUPPORTING,YES,P2
16252,Mục Tiêu SMART Là Gì? Ví Dụ Và Cách Đặt Mục Tiêu SMART,HUB-11,mục tiêu smart ví dụ,informational-definition,TOFU,SUPPORTING,YES,P2
16254,5 Bước Lập Kế Hoạch Marketing Hiệu Quả Cho Doanh Nghiệp,HUB-11,bước lập kế hoạch marketing,informational-howto,TOFU,SUPPORTING,YES,P2
16257,Xác Định Ngân Sách Marketing Như Thế Nào?,HUB-11,xác định ngân sách marketing,informational-general,TOFU,SUPPORTING,YES,P2
16271,Nhà Đầu Tư Thiên Thần - Cứu Tinh Của Start Up,HUB-08,nhà đầu tư thiên thần,informational-general,TOFU,PILLAR,YES,P0
16284,9 Bước Lập Kế Hoạch Digital Marketing,HUB-11,bước lập kế hoạch digital,informational-howto,TOFU,SUPPORTING,YES,P2
16324,Tự Ghi Âm Cuộc Gọi Và Cách Hướng Dẫn Cài,HUB-07,tự ghi âm cuộc gọi,informational-howto,MOFU,PILLAR,YES,P0
16329,4 Website Gọi Vốn Cộng Đồng Hiệu Quả Dành Cho Start-Up,HUB-11,website gọi vốn cộng đồng,informational-general,TOFU,SUPPORTING,YES,P2
16348,Hướng Dẫn Khởi Nghiệp Hiệu Quả,HUB-11,hướng dẫn khởi hiệu quả,informational-howto,TOFU,SUPPORTING,YES,P2
16376,Quản Trị Theo Mục Tiêu SMART Là Gì?,HUB-11,quản trị theo mục tiêu,informational-definition,TOFU,SUPPORTING,YES,P2
16389,Call Center Là Gì? Tất Tần Tật Về Call Center Mà Bạn Nên Biết,HUB-01,call center tất tần tật,informational-definition,TOFU,SUPPORTING,YES,P1
16611,9 việc NÊN và KHÔNG NÊN làm trong quy trình đánh giá nhân viên,HUB-11,việc làm quy trình đánh,informational-howto,TOFU,SUPPORTING,YES,P2
17741,Thủ thuật tăng traffic website uy tín tại trafficSEO,HUB-11,thủ thuật tăng traffic website,informational-general,TOFU,SUPPORTING,YES,P2
17775,Hướng dẫn quy trình bán bất động sản: Từ thời điểm mở bán cho đến lúc ký hợp đồng,HUB-04,hướng dẫn quy trình bán,informational-howto,TOFU,PILLAR,YES,P3
17795,8 cách xử lý từ chối của khách hàng,HUB-04,xử lý chối khách hàng,informational-howto,TOFU,SUPPORTING,YES,P1
17823,Vì sao nhắn tin với khách hàng là cách hiệu quả để tăng doanh số bán hàng?,HUB-04,vì nhắn tin khách hàng,informational-howto,TOFU,SUPPORTING,YES,P1
17839,6 cách tăng năng suất bán hàng và tối ưu công việc cho nhân viên bán hàng,HUB-04,tăng năng suất bán hàng,informational-howto,TOFU,SUPPORTING,YES,P1
17856,Hướng dẫn cải thiện tình trạng quá tải tại Call Center vào các mùa lễ lớn sale to,HUB-01,hướng dẫn cải thiện tình,informational-howto,TOFU,SUPPORTING,YES,P1
17875,Lead qualification: Cách đánh giá khách hàng tiềm năng hiệu quả,HUB-04,lead qualification đánh giá khách,informational-howto,TOFU,PILLAR,YES,P1
17884,Tại sao tỷ lệ giữ chân khách hàng lại quan trọng đối với doanh nghiệp?,HUB-05,tỷ lệ giữ chân khách,informational-general,TOFU,PILLAR,YES,P1
17894,"Tại sao nói: “Phản hồi của khách hàng của bạn vẫn còn quan trọng đối với doanh nghiệp?""",HUB-05,nói phản hồi khách hàng,informational-general,TOFU,PILLAR,YES,P1
17911,“Khách hàng luôn đúng”:Ý nghĩa và góc nhìn về tính đúng đắn của triết lý,HUB-11,khách hàng luôn đúng ý,informational-general,TOFU,PILLAR,YES,P2
17917,15 cách để tránh cạn kiệt năng lượng của tổng đài viên,HUB-01,tránh cạn kiệt năng lượng,informational-howto,TOFU,PILLAR,YES,P1
17924,Product Demo là gì? Cách thực hiện Product Demo thành công dành cho nhân viên bán hàng,HUB-04,product demo thực hiện product,informational-definition,TOFU,PILLAR,YES,P1
